rays, sec,   rec-ord
3828, 1.7, 1
4598, 2.0, 1
4915, 1.5, 1
5261, 2.3, 0
5361, 1.0, 0
5449, 1.6, 0
5450, 2.4, 0
5603, 2.4, 1
6129, 1.6, 0
6203, 2.0, 1
6356, 1.4, 0
6384, 2.7, 0
6583, 1.1, 0
6631, 1.6, 0
6667, 1.1, 0
6669, 1.7, 0
6691, 2.4, 0
6725, 1.4, 1
6773, 2.3, 1
6961, 1.7, 0
6999, 1.1, 0
7020, 1.1, 0
7064, 2.5, 0
7152, 1.7, 0
7164, 1.4, 0
7186, 1.1, 0
7282, 1.8, 1
7324, 2.0, 0
7405, 1.1, 0
7518, 1.5, 0
7520, 1.1, 1
7536, 2.2, 1
7554, 2.7, 1
7559, 1.6, 1
7604, 2.7, 0
7744, 1.5, 0
7751, 1.4, 0
7793, 1.1, 0
7881, 2.9, 0
7903, 1.3, 0
7969, 1.4, 1
7982, 3.7, 0
7993, 1.6, 0
8075, 1.9, 0
8128, 1.2, 0
8139, 1.6, 1
8174, 2.2, 1
8175, 1.3, 0
8181, 2.2, 0
8202, 1.8, 0
8220, 1.7, 0
8229, 1.1, 0
8368, 2.2, 1
8412, 2.5, 0
8444, 1.8, 0
8474, 1.3, 1
8490, 1.6, 0
8535, 1.5, 0
8566, 2.4, 0
8581, 1.1, 0
8596, 2.9, 0
8615, 1.2, 0
8648, 1.3, 0
8655, 1.4, 0
8667, 1.5, 0
8671, 1.5, 0
8674, 3.1, 0
8674, 1.5, 1
8716, 1.2, 0
8844, 1.2, 0
8857, 3.0, 1
8864, 1.8, 1
8907, 1.5, 0
8952, 1.1, 0
8963, 1.1, 1
8982, 2.5, 0
8987, 2.5, 1
9080, 1.6, 0
9095, 1.6, 1
9099, 1.5, 0
9111, 1.9, 1
9118, 2.8, 1
9130, 2.7, 0
9138, 1.5, 0
9213, 2.2, 0
9235, 1.8, 1
9245, 2.1, 0
9259, 1.5, 1
9277, 1.5, 1
9297, 2.8, 0
9384, 1.2, 1
9423, 2.1, 0
9428, 2.5, 0
9432, 1.7, 1
9479, 2.3, 1
9505, 2.2, 0
9543, 2.5, 0
9544, 1.3, 0
9578, 2.9, 0
9622, 1.6, 1
9622, 1.6, 1
9652, 2.7, 0
9686, 1.8, 0
9698, 1.0, 0
9720, 1.2, 0
9739, 1.7, 0
9754, 3.0, 0
9788, 1.5, 0
9789, 2.0, 0
9795, 1.4, 0
9880, 1.6, 0
9887, 2.3, 0
9893, 1.4, 0
9894, 2.5, 0
9897, 1.5, 0
9913, 1.1, 0
9951, 1.5, 0
9952, 1.6, 0
9955, 2.6, 0
9957, 4.8, 1
9977, 1.2, 0
10002, 1.3, 0
10028, 1.5, 0
10039, 1.6, 1
10057, 2.3, 0
10090, 2.6, 0
10090, 4.2, 0
10106, 1.9, 0
10162, 2.0, 0
10173, 1.7, 0
10255, 1.5, 0
10263, 1.5, 0
10307, 1.1, 0
10364, 2.8, 1
10387, 3.7, 0
10389, 1.2, 0
10402, 1.3, 0
10423, 1.2, 1
10425, 1.1, 1
10428, 1.7, 1
10457, 4.0, 0
10460, 2.6, 0
10496, 1.6, 1
10498, 1.7, 0
10510, 1.6, 0
10546, 1.0, 0
10548, 1.4, 1
10588, 2.6, 0
10621, 2.7, 0
10655, 2.2, 0
10656, 1.0, 0
10659, 1.5, 0
10686, 2.2, 0
10709, 2.1, 0
10736, 2.8, 1
10752, 1.0, 1
10753, 2.3, 0
10767, 4.8, 0
10785, 1.4, 0
10853, 1.4, 0
10866, 1.2, 0
10883, 2.6, 0
10906, 1.6, 0
10921, 1.3, 0
10968, 2.8, 1
10973, 1.7, 1
10977, 2.8, 0
10988, 1.1, 1
11006, 1.4, 0
11021, 3.4, 1
11043, 2.3, 0
11055, 3.5, 0
11078, 1.6, 0
11097, 3.2, 1
11116, 1.6, 0
11119, 1.6, 0
11129, 1.6, 1
11132, 1.1, 0
11142, 2.0, 0
11152, 3.0, 1
11153, 3.0, 0
11158, 1.8, 0
11176, 1.6, 0
11200, 1.1, 1
11227, 1.6, 0
11234, 1.4, 1
11271, 2.0, 0
11295, 1.6, 0
11321, 2.8, 0
11324, 2.1, 1
11346, 2.2, 0
11350, 2.5, 0
11361, 1.6, 0
11369, 5.7, 1
11370, 1.2, 0
11386, 1.6, 0
11400, 1.1, 1
11409, 1.6, 0
11414, 1.8, 1
11436, 1.8, 0
11445, 2.7, 0
11447, 1.0, 0
11488, 2.4, 0
11493, 2.6, 1
11515, 1.9, 0
11539, 2.3, 0
11577, 1.5, 0
11588, 1.2, 0
11606, 3.7, 0
11646, 1.6, 0
11661, 1.4, 0
11678, 2.6, 0
11688, 2.4, 0
11689, 1.7, 0
11709, 1.9, 0
11710, 1.6, 0
11720, 2.2, 1
11722, 1.3, 0
11728, 1.6, 0
11746, 2.2, 0
11753, 1.4, 0
11756, 1.4, 0
11815, 1.7, 0
11816, 1.5, 1
11855, 2.5, 0
11855, 2.6, 0
11857, 2.1, 0
11885, 1.8, 0
11909, 2.5, 0
11911, 3.7, 0
11934, 2.5, 1
11955, 3.2, 1
11965, 1.4, 0
11973, 2.4, 1
11976, 1.7, 0
11984, 3.0, 1
11990, 2.4, 0
12001, 1.7, 1
12014, 1.4, 1
12014, 2.9, 1
12017, 3.8, 0
12025, 1.1, 0
12043, 2.1, 1
12046, 2.4, 0
12060, 2.6, 1
12060, 2.3, 1
12060, 2.2, 1
12063, 1.7, 1
12074, 2.9, 0
12100, 3.7, 0
12137, 1.4, 1
12154, 2.5, 1
12169, 2.5, 0
12175, 4.0, 0
12188, 2.2, 1
12199, 1.6, 0
12202, 1.2, 0
12213, 1.7, 0
12218, 1.1, 0
12222, 1.4, 0
12234, 2.8, 0
12245, 2.4, 0
12296, 7.1, 1
12341, 1.8, 1
12373, 1.7, 1
12373, 2.5, 1
12412, 2.3, 0
12412, 1.8, 0
12430, 3.2, 0
12431, 1.4, 0
12460, 2.3, 0
12473, 1.6, 0
12523, 2.7, 0
12533, 1.3, 0
12552, 1.2, 0
12592, 2.7, 0
12592, 1.7, 1
12611, 1.2, 0
12613, 1.5, 0
12631, 1.5, 0
12645, 2.0, 0
12650, 1.8, 0
12655, 2.3, 1
12673, 2.6, 0
12673, 3.7, 1
12685, 1.5, 0
12709, 1.2, 0
12726, 1.3, 1
12737, 3.9, 0
12754, 1.1, 1
12789, 1.5, 0
12794, 1.7, 0
12803, 2.4, 0
12805, 2.0, 1
12805, 1.1, 0
12873, 1.9, 1
12877, 2.5, 0
12906, 1.5, 0
12934, 2.1, 0
12935, 6.8, 0
12947, 1.6, 1
12970, 1.6, 0
12982, 3.4, 1
13001, 1.6, 0
13005, 2.3, 0
13008, 3.2, 1
13018, 2.6, 0
13056, 1.7, 0
13069, 4.6, 0
13090, 1.6, 0
13092, 1.2, 0
13098, 1.8, 0
13116, 1.2, 0
13120, 1.1, 0
13173, 1.3, 0
13209, 3.4, 1
13226, 1.5, 0
13227, 1.2, 0
13230, 1.7, 0
13236, 1.9, 1
13253, 1.3, 0
13256, 1.6, 0
13272, 3.4, 0
13274, 2.1, 0
13284, 1.6, 1
13297, 1.3, 1
13320, 2.0, 0
13328, 2.5, 0
13332, 1.4, 0
13336, 5.3, 0
13367, 1.5, 1
13389, 2.0, 0
13408, 1.6, 0
13414, 1.8, 0
13424, 3.2, 1
13431, 1.6, 0
13439, 2.4, 0
13480, 2.5, 1
13484, 1.1, 0
13489, 3.4, 0
13523, 2.4, 0
13542, 1.4, 0
13574, 2.1, 1
13581, 1.7, 0
13611, 2.3, 0
13631, 2.1, 1
13647, 2.8, 0
13703, 2.5, 1
13713, 3.5, 0
13713, 2.6, 0
13723, 1.1, 0
13744, 3.5, 0
13749, 4.8, 0
13753, 1.6, 0
13773, 1.6, 0
13774, 1.9, 0
13783, 1.5, 0
13808, 1.6, 0
13811, 1.8, 0
13826, 1.0, 0
13844, 2.8, 1
13850, 1.6, 0
13853, 3.0, 1
13854, 1.6, 0
13861, 1.9, 0
13866, 1.2, 0
13871, 1.2, 1
13910, 1.4, 0
13910, 1.1, 0
13911, 1.7, 0
13925, 7.9, 1
13952, 1.5, 0
13986, 1.2, 1
13995, 1.1, 0
13996, 2.2, 0
13997, 2.8, 0
14000, 2.7, 0
14015, 1.4, 0
14025, 5.4, 0
14032, 1.2, 0
14032, 2.3, 0
14048, 1.7, 0
14079, 1.5, 0
14090, 2.7, 0
14103, 1.1, 0
14137, 3.0, 1
14137, 2.4, 1
14182, 1.6, 0
14190, 2.3, 0
14202, 1.7, 0
14214, 1.8, 0
14237, 1.3, 0
14238, 2.2, 0
14239, 3.1, 1
14245, 1.1, 0
14246, 4.2, 0
14246, 2.7, 0
14291, 1.9, 0
14310, 1.6, 0
14343, 1.5, 0
14348, 2.0, 0
14369, 1.8, 0
14386, 1.1, 1
14415, 2.0, 0
